epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.24193547666072845,1.6692742109298706,0.23966942727565765,1.5814262628555298,9.999999747378752e-05
1,0.23297491669654846,1.6065974235534668,0.3140496015548706,1.5204799175262451,9.999999747378752e-05
2,0.3082437217235565,1.5277570486068726,0.3388429880142212,1.4706904888153076,9.999999747378752e-05
3,0.3351254463195801,1.4861241579055786,0.3471074402332306,1.4278453588485718,9.999999747378752e-05
4,0.32974910736083984,1.4699313640594482,0.38842976093292236,1.3879305124282837,9.999999747378752e-05
5,0.3637992739677429,1.4069080352783203,0.39669421315193176,1.3512582778930664,9.999999747378752e-05
6,0.37634408473968506,1.3676220178604126,0.44628098607063293,1.3199964761734009,9.999999747378752e-05
7,0.4265232980251312,1.3844037055969238,0.4628099203109741,1.2884485721588135,9.999999747378752e-05
8,0.41039425134658813,1.3504650592803955,0.4793388545513153,1.2626320123672485,9.999999747378752e-05
9,0.48028674721717834,1.2682512998580933,0.5123966932296753,1.241072654724121,9.999999747378752e-05
10,0.4605734646320343,1.2807835340499878,0.5123966932296753,1.2187644243240356,9.999999747378752e-05
11,0.4534050226211548,1.2557134628295898,0.5206611752510071,1.2007932662963867,9.999999747378752e-05
12,0.48924732208251953,1.2041499614715576,0.5371900796890259,1.1828683614730835,9.999999747378752e-05
13,0.48745518922805786,1.2025182247161865,0.5537189841270447,1.1665797233581543,9.999999747378752e-05
14,0.5250896215438843,1.1735669374465942,0.5537189841270447,1.1541001796722412,9.999999747378752e-05
15,0.43369176983833313,1.365514874458313,0.5454545617103577,1.167830228805542,9.999999747378752e-06
16,0.44265231490135193,1.3517342805862427,0.5619834661483765,1.1783931255340576,9.999999747378752e-06
17,0.46415770053863525,1.2967556715011597,0.5619834661483765,1.1845743656158447,9.999999747378752e-06
18,0.5089605450630188,1.2686150074005127,0.5454545617103577,1.1856930255889893,9.999999747378752e-06
19,0.5268816947937012,1.2254114151000977,0.5289255976676941,1.1944512128829956,4.999999873689376e-06
20,0.5125448107719421,1.227076530456543,0.5289255976676941,1.2001229524612427,4.999999873689376e-06
21,0.5268816947937012,1.2130309343338013,0.5289255976676941,1.2025316953659058,4.999999873689376e-06
