epoch,accuracy,loss,val_accuracy,val_loss
0,0.17475728690624237,1.8931009769439697,0.2584269642829895,1.7508665323257446
1,0.2160194218158722,1.8248218297958374,0.30337077379226685,1.7081420421600342
2,0.25121358036994934,1.7823185920715332,0.32022473216056824,1.6671701669692993
3,0.3106796145439148,1.7041105031967163,0.3595505654811859,1.6306090354919434
4,0.3276698887348175,1.6695853471755981,0.3988763988018036,1.5942518711090088
5,0.35922330617904663,1.6240382194519043,0.42134830355644226,1.5622366666793823
6,0.37257280945777893,1.5659068822860718,0.43820226192474365,1.533048152923584
7,0.41383495926856995,1.5374754667282104,0.43820226192474365,1.5056015253067017
8,0.4502427279949188,1.4791656732559204,0.45505619049072266,1.4797444343566895
9,0.4429611563682556,1.4858766794204712,0.466292142868042,1.4577205181121826
10,0.4223301112651825,1.569596767425537,0.466292142868042,1.4577250480651855
11,0.43446603417396545,1.524182677268982,0.47752809524536133,1.4542791843414307
12,0.4490291178226471,1.4987212419509888,0.466292142868042,1.4489116668701172
13,0.4550970792770386,1.4699543714523315,0.483146071434021,1.4412775039672852
14,0.48422330617904663,1.4362043142318726,0.48876404762268066,1.4316332340240479
15,0.5036407709121704,1.39056396484375,0.483146071434021,1.4220497608184814
16,0.5133495330810547,1.3800112009048462,0.48876404762268066,1.4102275371551514
17,0.5388349294662476,1.3497461080551147,0.483146071434021,1.398716688156128
18,0.5667475461959839,1.3134100437164307,0.483146071434021,1.3858563899993896
19,0.5521844625473022,1.3010125160217285,0.48876404762268066,1.3729292154312134
