epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.18325242400169373,1.8884696960449219,0.2078651636838913,1.8339142799377441,9.999999747378752e-05
1,0.2536407709121704,1.7928060293197632,0.25280898809432983,1.7861586809158325,9.999999747378752e-05
2,0.27184465527534485,1.7518662214279175,0.2752808928489685,1.7449642419815063,9.999999747378752e-05
3,0.27791261672973633,1.7124742269515991,0.30337077379226685,1.7066655158996582,9.999999747378752e-05
4,0.3689320385456085,1.6317507028579712,0.33707866072654724,1.6731282472610474,9.999999747378752e-05
5,0.37014561891555786,1.6052416563034058,0.3651685416698456,1.6417301893234253,9.999999747378752e-05
6,0.40412622690200806,1.578931212425232,0.3764044940471649,1.613039493560791,9.999999747378752e-05
7,0.4526698887348175,1.5192054510116577,0.3988763988018036,1.5853818655014038,9.999999747378752e-05
8,0.44781553745269775,1.4991053342819214,0.4101123511791229,1.5598423480987549,9.999999747378752e-05
9,0.46723300218582153,1.4639993906021118,0.42696627974510193,1.539055585861206,9.999999747378752e-05
10,0.4890776574611664,1.4296547174453735,0.42134830355644226,1.5187830924987793,9.999999747378752e-05
11,0.46480581164360046,1.4259920120239258,0.42696627974510193,1.4990777969360352,9.999999747378752e-05
12,0.512135922908783,1.375264286994934,0.43820226192474365,1.4814984798431396,9.999999747378752e-05
13,0.5218446850776672,1.3691821098327637,0.45505619049072266,1.4642115831375122,9.999999747378752e-05
14,0.5461165308952332,1.3442341089248657,0.4606741666793823,1.4486682415008545,9.999999747378752e-05
15,0.4453883469104767,1.5062659978866577,0.47752809524536133,1.458815336227417,9.999999747378752e-06
16,0.45145630836486816,1.4796888828277588,0.47191011905670166,1.4653902053833008,9.999999747378752e-06
17,0.4927184581756592,1.4279439449310303,0.466292142868042,1.4683705568313599,9.999999747378752e-06
18,0.512135922908783,1.4038134813308716,0.4606741666793823,1.467837929725647,9.999999747378752e-06
19,0.5497573018074036,1.3857688903808594,0.45505619049072266,1.473716139793396,4.999999873689376e-06
20,0.5048543810844421,1.3827569484710693,0.4438202381134033,1.4761501550674438,4.999999873689376e-06
21,0.530339777469635,1.3635953664779663,0.4438202381134033,1.476367712020874,4.999999873689376e-06
